,Device 1
40750721,1576.0
40750722,1555.0
40750723,1530.0
40750724,1568.0
40750725,1579.0
40750726,1564.0
40750727,1563.0
40750728,1576.0
40750729,1575.0
40750730,1563.0
40750731,1577.0
40750732,1576.0
40750733,1556.0
40750734,1564.0
40750735,1570.0
40750736,1570.0
40750737,1519.0
40750738,1563.0
40750739,1563.0
40750740,1563.0
40750741,1518.0
40750742,1553.0
40750743,1555.0
40750744,1554.0
40750745,1507.0
40750746,1539.0
40750747,1544.0
40750748,1530.0
40750749,1495.0
40750750,1522.0
40750751,1533.0
40750752,1533.0
40750753,1494.0
40750754,1507.0
40750755,1544.0
40750756,1556.0
40750757,1579.0
40750758,1519.0
40750759,1613.0
40750760,1644.0
40750761,1637.0
40750762,1647.0
40750763,1714.0
40750764,1761.0
40750765,1814.0
40750766,1862.0
40750767,1910.0
40750768,1934.0
40750769,1957.0
40750770,2002.0
40750771,2048.0
40750772,2135.0
40750773,2169.0
40750774,2200.0
40750775,2238.0
40750776,2281.0
40750777,2300.0
40750778,2293.0
40750779,2301.0
40750780,2312.0
40750781,2302.0
40750782,2300.0
40750783,2300.0
40750784,2300.0
40750785,2281.0
40750786,2268.0
40750787,2238.0
40750788,2200.0
40750789,2157.0
40750790,2089.0
40750791,2022.0
40750792,1967.0
40750793,1942.0
40750794,1920.0
40750795,1874.0
40750796,1828.0
40750797,1786.0
40750798,1738.0
40750799,1669.0
40750800,1624.0
40750801,1577.0
40750802,1534.0
40750803,1533.0
40750804,1499.0
40750805,1473.0
40750806,1453.0
40750808,1325.0
40750809,1378.0
40750810,1359.0
40750811,1298.0
40750812,1313.0
40750813,1297.0
40750814,1286.0
40750815,1230.0
40750816,1255.0
40750817,1254.0
40750818,1206.0
40750819,1221.0
40750820,1219.0
40750821,1207.0
40750822,1219.0
40750823,1229.0
40750824,1173.0
40750825,1208.0
40750826,1220.0
40750827,1218.0
40750828,1218.0
40750829,1230.0
40750830,1234.0
40750831,1194.0
40750832,1233.0
40750833,1252.0
40750834,1256.0
40750835,1252.0
40750836,1274.0
40750837,1279.0
40750838,1251.0
40750839,1287.0
40750840,1297.0
40750841,1300.0
40750842,1287.0
40750843,1325.0
40750844,1331.0
40750845,1290.0
40750846,1327.0
40750847,1346.0
40750848,1356.0
40750849,1316.0
40750850,1369.0
40750851,1371.0
40750852,1367.0
40750853,1371.0
40750854,1392.0
40750855,1403.0
40750856,1359.0
40750857,1403.0
40750858,1415.0
40750859,1371.0
40750860,1378.0
40750861,1415.0
40750862,1424.0
40750863,1425.0
40750864,1392.0
40750865,1392.0
40750866,1431.0
40750867,1440.0
40750868,1440.0
40750869,1452.0
40750870,1440.0
40750871,1403.0
40750872,1442.0
40750873,1452.0
40750874,1462.0
40750875,1453.0
40750876,1459.0
40750877,1459.0
40750878,1471.0
40750879,1474.0
40750880,1471.0
40750881,1436.0
40750882,1442.0
40750883,1460.0
40750884,1488.0
40750885,1496.0
40750886,1498.0
40750887,1507.0
40750888,1519.0
40750889,1507.0
40750890,1474.0
40750891,1487.0
40750892,1518.0
40750893,1520.0
40750894,1534.0
40750895,1533.0
40750896,1540.0
40750897,1495.0
40750898,1487.0
40750899,1496.0
40750900,1530.0
40750901,1530.0
40750902,1531.0
40750903,1540.0
40750904,1540.0
40750905,1487.0
40750906,1484.0
40750907,1507.0
40750909,1482.0
40750910,1532.0
40750911,1475.0
40750912,1533.0
40750913,1487.0
40750914,1518.0
40750915,1530.0
40750916,1530.0
40750917,1494.0
40750918,1530.0
40750919,1532.0
40750920,1534.0
40750921,1487.0
40750922,1539.0
40750923,1542.0
40750924,1531.0
40750925,1500.0
40750926,1553.0
40750927,1555.0
40750928,1533.0
40750929,1547.0
40750930,1563.0
40750931,1567.0
40750932,1555.0
40750933,1563.0
40750934,1568.0
40750935,1578.0
40750936,1541.0
40750937,1575.0
40750938,1579.0
40750939,1576.0
40750940,1563.0
40750941,1585.0
40750942,1590.0
40750943,1553.0
40750944,1580.0
40750945,1588.0
40750946,1599.0
40750947,1564.0
40750948,1590.0
40750949,1599.0
40750950,1599.0
40750951,1566.0
40750952,1599.0
40750953,1603.0
40750954,1555.0
40750955,1600.0
40750956,1610.0
40750957,1576.0
40750958,1599.0
40750959,1612.0
40750960,1612.0
40750961,1564.0
40750962,1589.0
40750963,1568.0
40750964,1613.0
40750965,1622.0
40750966,1610.0
40750967,1622.0
40750968,1577.0
40750969,1578.0
40750970,1586.0
40750971,1613.0
40750972,1613.0
40750973,1624.0
40750974,1624.0
40750975,1633.0
40750976,1626.0
40750977,1599.0
40750978,1590.0
40750979,1624.0
40750980,1625.0
40750981,1634.0
40750982,1633.0
40750983,1598.0
40750984,1645.0
40750985,1614.0
40750986,1646.0
40750987,1647.0
40750988,1658.0
40750989,1667.0
40750990,1658.0
40750991,1613.0
40750992,1613.0
40750993,1625.0
40750994,1665.0
40750995,1667.0
40750996,1677.0
40750997,1671.0
40750998,1673.0
40750999,1635.0
40751000,1633.0
40751001,1633.0
40751002,1648.0
40751003,1669.0
40751004,1669.0
40751005,1671.0
40751006,1673.0
40751007,1650.0
40751008,1625.0
40751010,1657.0
40751011,1633.0
40751012,1670.0
40751013,1658.0
40751014,1658.0
40751015,1658.0
40751016,1609.0
40751017,1638.0
40751018,1646.0
40751019,1638.0
40751020,1599.0
40751021,1638.0
40751022,1644.0
40751023,1645.0
40751024,1599.0
40751025,1633.0
40751026,1635.0
40751027,1612.0
40751028,1624.0
40751029,1625.0
40751030,1624.0
40751031,1588.0
40751032,1609.0
40751033,1613.0
40751034,1613.0
40751035,1564.0
40751036,1590.0
40751037,1599.0
40751038,1599.0
40751039,1552.0
40751040,1584.0
40751041,1579.0
40751042,1576.0
40751043,1530.0
40751044,1564.0
40751045,1568.0
40751046,1555.0
40751047,1518.0
40751048,1546.0
40751049,1544.0
40751050,1544.0
40751051,1486.0
40751052,1522.0
40751053,1528.0
40751054,1510.0
40751055,1473.0
40751056,1498.0
40751057,1500.0
40751058,1461.0
40751059,1484.0
40751060,1484.0
40751061,1485.0
40751062,1435.0
40751063,1465.0
40751064,1465.0
40751065,1417.0
40751066,1443.0
40751067,1452.0
40751068,1459.0
40751069,1451.0
40751070,1452.0
40751071,1407.0
40751072,1394.0
40751073,1424.0
40751074,1435.0
40751075,1441.0
40751076,1443.0
40751077,1436.0
40751078,1435.0
40751079,1392.0
40751080,1428.0
40751081,1427.0
40751082,1428.0
40751083,1414.0
40751084,1381.0
40751085,1415.0
40751086,1417.0
40751087,1417.0
40751088,1427.0
40751089,1427.0
40751090,1392.0
40751091,1370.0
40751092,1371.0
40751093,1406.0
40751094,1407.0
40751095,1427.0
40751096,1428.0
40751097,1427.0
40751098,1380.0
40751099,1378.0
40751100,1403.0
